HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
NFYA.H12INVIVO.0.P.B NFYA ENSG00000001167 H12INVIVO P B
ARX.H12INVIVO.0.S.D ARX ENSG00000004848 H12INVIVO S D
ARX.H12INVIVO.1.SM.D ARX ENSG00000004848 H12INVIVO SM D
MEOX1.H12INVIVO.0.SM.D MEOX1 ENSG00000005102 H12INVIVO SM D
SOX8.H12INVIVO.0.PSM.A SOX8 ENSG00000005513 H12INVIVO PSM A
SOX8.H12INVIVO.1.PS.A SOX8 ENSG00000005513 H12INVIVO PS A
ZFX.H12INVIVO.0.P.B ZFX ENSG00000005889 H12INVIVO P B
DLX6.H12INVIVO.0.SM.D DLX6 ENSG00000006377 H12INVIVO SM D
ETV1.H12INVIVO.0.PSM.A ETV1 ENSG00000006468 H12INVIVO PSM A
ETV1.H12INVIVO.1.PM.A ETV1 ENSG00000006468 H12INVIVO PM A
PAX6.H12INVIVO.0.PSM.A PAX6 ENSG00000007372 H12INVIVO PSM A
TEAD3.H12INVIVO.0.PS.A TEAD3 ENSG00000007866 H12INVIVO PS A
TEAD3.H12INVIVO.1.S.B TEAD3 ENSG00000007866 H12INVIVO S B
NFIX.H12INVIVO.0.SM.D NFIX ENSG00000008441 H12INVIVO SM D
NFIX.H12INVIVO.1.S.D NFIX ENSG00000008441 H12INVIVO S D
PAX7.H12INVIVO.0.P.B PAX7 ENSG00000009709 H12INVIVO P B
PAX7.H12INVIVO.1.S.B PAX7 ENSG00000009709 H12INVIVO S B
PAX7.H12INVIVO.2.PM.A PAX7 ENSG00000009709 H12INVIVO PM A
ETV7.H12INVIVO.0.SM.B ETV7 ENSG00000010030 H12INVIVO SM B
ETV7.H12INVIVO.1.P.C ETV7 ENSG00000010030 H12INVIVO P C
DPF1.H12INVIVO.0.SM.D DPF1 ENSG00000011332 H12INVIVO SM D
NR1H4.H12INVIVO.0.P.B NR1H4 ENSG00000012504 H12INVIVO P B
NR1H4.H12INVIVO.1.P.B NR1H4 ENSG00000012504 H12INVIVO P B
NR1H4.H12INVIVO.2.P.B NR1H4 ENSG00000012504 H12INVIVO P B
ISL1.H12INVIVO.0.PSM.A ISL1 ENSG00000016082 H12INVIVO PSM A
SNAI2.H12INVIVO.0.PSM.A SNAI2 ENSG00000019549 H12INVIVO PSM A
RUNX3.H12INVIVO.0.P.B RUNX3 ENSG00000020633 H12INVIVO P B
RUNX3.H12INVIVO.1.S.B RUNX3 ENSG00000020633 H12INVIVO S B
RUNX3.H12INVIVO.2.S.B RUNX3 ENSG00000020633 H12INVIVO S B
HSF2.H12INVIVO.0.PSM.A HSF2 ENSG00000025156 H12INVIVO PSM A
NR1H3.H12INVIVO.0.P.B NR1H3 ENSG00000025434 H12INVIVO P B
NR1H3.H12INVIVO.1.P.B NR1H3 ENSG00000025434 H12INVIVO P B
SOX30.H12INVIVO.0.P.C SOX30 ENSG00000039600 H12INVIVO P C
SOX30.H12INVIVO.1.SM.B SOX30 ENSG00000039600 H12INVIVO SM B
BARX2.H12INVIVO.0.SM.D BARX2 ENSG00000043039 H12INVIVO SM D
ZIC2.H12INVIVO.0.P.B ZIC2 ENSG00000043355 H12INVIVO P B
FOXP3.H12INVIVO.0.P.B FOXP3 ENSG00000049768 H12INVIVO P B
ALX4.H12INVIVO.0.S.D ALX4 ENSG00000052850 H12INVIVO S D
ALX4.H12INVIVO.1.SM.D ALX4 ENSG00000052850 H12INVIVO SM D
FOXC1.H12INVIVO.0.S.D FOXC1 ENSG00000054598 H12INVIVO S D
FOXC1.H12INVIVO.1.S.D FOXC1 ENSG00000054598 H12INVIVO S D
PRDM1.H12INVIVO.0.S.B PRDM1 ENSG00000057657 H12INVIVO S B
PRDM1.H12INVIVO.1.PS.A PRDM1 ENSG00000057657 H12INVIVO PS A
PRDM6.H12INVIVO.0.P.B PRDM6 ENSG00000061455 H12INVIVO P B
AHRR.H12INVIVO.0.P.C AHRR ENSG00000063438 H12INVIVO P C
GSC2.H12INVIVO.0.SM.D GSC2 ENSG00000063515 H12INVIVO SM D
DLX3.H12INVIVO.0.SM.D DLX3 ENSG00000064195 H12INVIVO SM D
DLX3.H12INVIVO.1.S.D DLX3 ENSG00000064195 H12INVIVO S D
DMRT3.H12INVIVO.0.S.D DMRT3 ENSG00000064218 H12INVIVO S D
PIT1.H12INVIVO.0.SM.D PIT1 ENSG00000064835 H12INVIVO SM D
PIT1.H12INVIVO.1.S.D PIT1 ENSG00000064835 H12INVIVO S D
ZNF76.H12INVIVO.0.P.B ZNF76 ENSG00000065029 H12INVIVO P B
ZNF76.H12INVIVO.1.SM.B ZNF76 ENSG00000065029 H12INVIVO SM B
FOXJ2.H12INVIVO.0.PSM.A FOXJ2 ENSG00000065970 H12INVIVO PSM A
FOXJ2.H12INVIVO.1.SM.B FOXJ2 ENSG00000065970 H12INVIVO SM B
FOXJ2.H12INVIVO.2.S.B FOXJ2 ENSG00000065970 H12INVIVO S B
NFYC.H12INVIVO.0.P.B NFYC ENSG00000066136 H12INVIVO P B
SPI1.H12INVIVO.0.P.B SPI1 ENSG00000066336 H12INVIVO P B
SPI1.H12INVIVO.1.S.B SPI1 ENSG00000066336 H12INVIVO S B
KLF6.H12INVIVO.0.P.B KLF6 ENSG00000067082 H12INVIVO P B
KLF6.H12INVIVO.1.SM.B KLF6 ENSG00000067082 H12INVIVO SM B
MEF2A.H12INVIVO.0.P.B MEF2A ENSG00000068305 H12INVIVO P B
PITX1.H12INVIVO.0.PSM.A PITX1 ENSG00000069011 H12INVIVO PSM A
PITX1.H12INVIVO.1.S.B PITX1 ENSG00000069011 H12INVIVO S B
RORA.H12INVIVO.0.P.C RORA ENSG00000069667 H12INVIVO P C
HES2.H12INVIVO.0.S.D HES2 ENSG00000069812 H12INVIVO S D
MNT.H12INVIVO.0.PS.A MNT ENSG00000070444 H12INVIVO PS A
TBX21.H12INVIVO.0.PSM.A TBX21 ENSG00000073861 H12INVIVO PSM A
GLI2.H12INVIVO.0.PSM.A GLI2 ENSG00000074047 H12INVIVO PSM A
TEAD2.H12INVIVO.0.PSM.A TEAD2 ENSG00000074219 H12INVIVO PSM A
FOSL2.H12INVIVO.0.P.B FOSL2 ENSG00000075426 H12INVIVO P B
PAX2.H12INVIVO.0.SM.D PAX2 ENSG00000075891 H12INVIVO SM D
RARB.H12INVIVO.0.SM.B RARB ENSG00000077092 H12INVIVO SM B
RARB.H12INVIVO.1.P.B RARB ENSG00000077092 H12INVIVO P B
NFKB2.H12INVIVO.0.PSM.A NFKB2 ENSG00000077150 H12INVIVO PSM A
P73.H12INVIVO.0.PS.A P73 ENSG00000078900 H12INVIVO PS A
P73.H12INVIVO.1.P.B P73 ENSG00000078900 H12INVIVO P B
RFX3.H12INVIVO.0.PSM.A RFX3 ENSG00000080298 H12INVIVO PSM A
RFX3.H12INVIVO.1.PS.A RFX3 ENSG00000080298 H12INVIVO PS A
RFX3.H12INVIVO.2.S.B RFX3 ENSG00000080298 H12INVIVO S B
TCF7.H12INVIVO.0.PSM.A TCF7 ENSG00000081059 H12INVIVO PSM A
MEF2C.H12INVIVO.0.P.B MEF2C ENSG00000081189 H12INVIVO P B
MEF2C.H12INVIVO.1.SM.B MEF2C ENSG00000081189 H12INVIVO SM B
GRHL2.H12INVIVO.0.P.B GRHL2 ENSG00000083307 H12INVIVO P B
