SYMBOL ENSEMBL HOCOID
Ahr ENSMUSG00000019256 AHR.0.P.B
Ahrr ENSMUSG00000021575 AHRR.0.P.C
Alx1 ENSMUSG00000036602 ALX1.0.SM.D
Alx3 ENSMUSG00000014603 ALX3.0.SM.D
Alx3 ENSMUSG00000014603 ALX3.1.S.D
Alx4 ENSMUSG00000040310 ALX4.0.S.D
Alx4 ENSMUSG00000040310 ALX4.1.SM.D
Ar ENSMUSG00000046532 ANDR.0.P.B
Ar ENSMUSG00000046532 ANDR.1.S.C
Ar ENSMUSG00000046532 ANDR.2.P.B
Tfap2a ENSMUSG00000021359 AP2A.0.PSM.A
Tfap2b ENSMUSG00000025927 AP2B.0.SM.D
Tfap2c ENSMUSG00000028640 AP2C.0.PSM.A
Tfap2e ENSMUSG00000042477 AP2E.0.SM.D
Arid1a ENSMUSG00000007880 ARI1A.0.P.C
Arnt ENSMUSG00000015522 ARNT.0.P.B
Arnt ENSMUSG00000015522 ARNT.1.P.B
Arnt2 ENSMUSG00000015709 ARNT2.0.P.B
Arnt2 ENSMUSG00000015709 ARNT2.1.P.B
Arnt2 ENSMUSG00000015709 ARNT2.2.S.C
Arx ENSMUSG00000035277 ARX.0.S.D
Arx ENSMUSG00000035277 ARX.1.SM.D
Ascl1 ENSMUSG00000020052 ASCL1.0.PSM.A
Ascl2 ENSMUSG00000009248 ASCL2.0.PSM.A
Atf1 ENSMUSG00000023027 ATF1.0.P.B
Atf1 ENSMUSG00000023027 ATF1.1.P.B
Atf2 ENSMUSG00000027104 ATF2.0.PSM.A
Atf2 ENSMUSG00000027104 ATF2.1.P.B
Atf3 ENSMUSG00000026628 ATF3.0.P.B
Atf3 ENSMUSG00000026628 ATF3.1.P.B
Atf3 ENSMUSG00000026628 ATF3.2.P.B
Atf3 ENSMUSG00000026628 ATF3.3.SM.B
Atf4 ENSMUSG00000042406 ATF4.0.P.B
Atf4 ENSMUSG00000042406 ATF4.1.S.B
Atf4 ENSMUSG00000042406 ATF4.2.SM.B
Atf6 ENSMUSG00000026663 ATF6A.0.SM.D
Atf6b ENSMUSG00000015461 ATF6B.0.SM.D
Atf7 ENSMUSG00000099083 ATF7.0.PSM.A
Atoh1 ENSMUSG00000073043 ATOH1.0.P.B
Atoh1 ENSMUSG00000073043 ATOH1.1.SM.B
Atoh8 ENSMUSG00000037621 ATOH8.0.P.C
Bach1 ENSMUSG00000025612 BACH1.0.P.B
Bach2 ENSMUSG00000040270 BACH2.0.P.B
Bach2 ENSMUSG00000040270 BACH2.1.SM.B
Barhl1 ENSMUSG00000026805 BARH1.0.SM.D
Barhl1 ENSMUSG00000026805 BARH1.1.S.D
Barhl2 ENSMUSG00000034384 BARH2.0.SM.D
Barhl2 ENSMUSG00000034384 BARH2.1.S.D
Barhl2 ENSMUSG00000034384 BARH2.2.S.D
Barx1 ENSMUSG00000021381 BARX1.0.P.C
Barx1 ENSMUSG00000021381 BARX1.1.S.B
Barx2 ENSMUSG00000032033 BARX2.0.SM.D
Batf ENSMUSG00000034266 BATF.0.P.B
Batf ENSMUSG00000034266 BATF.1.P.B
Batf3 ENSMUSG00000026630 BATF3.0.P.B
Batf3 ENSMUSG00000026630 BATF3.1.P.B
Batf3 ENSMUSG00000026630 BATF3.2.SM.B
Bcl6 ENSMUSG00000022508 BCL6.0.PSM.A
Bcl6b ENSMUSG00000000317 BCL6B.0.PSM.A
Bhlha15 ENSMUSG00000052271 BHA15.0.P.B
Bhlha15 ENSMUSG00000052271 BHA15.1.SM.B
Bhlhe22 ENSMUSG00000025128 BHE22.0.SM.D
Bhlhe23 ENSMUSG00000045493 BHE23.0.SM.D
Bhlhe40 ENSMUSG00000030103 BHE40.0.PSM.A
Bhlhe40 ENSMUSG00000030103 BHE40.1.S.C
Bhlhe41 ENSMUSG00000030256 BHE41.0.PSM.A
Bsx ENSMUSG00000054360 BSH.0.SM.D
Cdx1 ENSMUSG00000024619 CDX1.0.M.D
Cdx1 ENSMUSG00000024619 CDX1.1.S.D
Cdx2 ENSMUSG00000029646 CDX2.0.PS.A
Cdx2 ENSMUSG00000029646 CDX2.1.M.C
Cdx4 ENSMUSG00000031326 CDX4.0.S.D
Cdx4 ENSMUSG00000031326 CDX4.1.M.D
Cebpa ENSMUSG00000034957 CEBPA.0.P.B
Cebpb ENSMUSG00000056501 CEBPB.0.P.B
Cebpb ENSMUSG00000056501 CEBPB.1.SM.B
Cebpd ENSMUSG00000071637 CEBPD.0.P.B
Cebpd ENSMUSG00000071637 CEBPD.1.SM.B
Cebpe ENSMUSG00000052435 CEBPE.0.P.B
Cebpe ENSMUSG00000052435 CEBPE.1.SM.B
Cebpg ENSMUSG00000056216 CEBPG.0.P.B
Cebpg ENSMUSG00000056216 CEBPG.1.SM.B
Cebpg ENSMUSG00000056216 CEBPG.2.P.B
Cenpb ENSMUSG00000068267 CENPB.0.S.D
Clock ENSMUSG00000029238 CLOCK.0.M.C
Clock ENSMUSG00000029238 CLOCK.1.PS.A
Ebf1 ENSMUSG00000057098 COE1.0.P.B
Ebf2 ENSMUSG00000022053 COE2.0.P.B
Ebf3 ENSMUSG00000010476 COE3.0.P.B
Nr2f1 ENSMUSG00000069171 COT1.0.PSM.A
Nr2f1 ENSMUSG00000069171 COT1.1.PSM.A
Nr2f2 ENSMUSG00000030551 COT2.0.P.B
Nr2f2 ENSMUSG00000030551 COT2.1.P.B
Cpeb1 ENSMUSG00000025586 CPEB1.0.S.D
Cpeb1 ENSMUSG00000025586 CPEB1.1.S.D
Creb3l1 ENSMUSG00000027230 CR3L1.0.PSM.A
Creb3l2 ENSMUSG00000038648 CR3L2.0.PS.A
Creb3l4 ENSMUSG00000027938 CR3L4.0.M.D
Creb3l4 ENSMUSG00000027938 CR3L4.1.S.D
Creb1 ENSMUSG00000025958 CREB1.0.PSM.A
Creb3 ENSMUSG00000028466 CREB3.0.SM.D
Creb5 ENSMUSG00000053007 CREB5.0.P.B
Creb5 ENSMUSG00000053007 CREB5.1.SM.B
Crem ENSMUSG00000063889 CREM.0.PSM.A
Crem ENSMUSG00000063889 CREM.1.P.C
Crx ENSMUSG00000041578 CRX.0.PSM.A
Ctcf ENSMUSG00000005698 CTCF.0.P.B
Ctcfl ENSMUSG00000070495 CTCFL.0.P.B
Cux1 ENSMUSG00000029705 CUX1.0.PM.A
Cux1 ENSMUSG00000029705 CUX1.1.S.B
Cux1 ENSMUSG00000029705 CUX1.2.P.C
Cux2 ENSMUSG00000042589 CUX2.0.P.C
Cux2 ENSMUSG00000042589 CUX2.1.SM.B
Cux2 ENSMUSG00000042589 CUX2.2.S.C
Dbp ENSMUSG00000059824 DBP.0.SM.D
Ddit3 ENSMUSG00000025408 DDIT3.0.P.B
Dlx1 ENSMUSG00000041911 DLX1.0.S.B
Dlx1 ENSMUSG00000041911 DLX1.1.PSM.A
Dlx2 ENSMUSG00000023391 DLX2.0.PSM.A
Dlx2 ENSMUSG00000023391 DLX2.1.S.B
Dlx3 ENSMUSG00000001510 DLX3.0.SM.D
Dlx3 ENSMUSG00000001510 DLX3.1.S.D
Dlx4 ENSMUSG00000020871 DLX4.0.SM.D
Dlx4 ENSMUSG00000020871 DLX4.1.S.D
Dlx5 ENSMUSG00000029755 DLX5.0.PSM.A
Dlx6 ENSMUSG00000029754 DLX6.0.SM.D
Dmbx1 ENSMUSG00000028707 DMBX1.0.SM.D
Dmrt1 ENSMUSG00000024837 DMRT1.0.PS.A
Dmrt1 ENSMUSG00000024837 DMRT1.1.M.C
Dmrt3 ENSMUSG00000042372 DMRT3.0.S.D
Dmrta1 ENSMUSG00000043753 DMRTA.0.SM.D
Dmrtb1 ENSMUSG00000028610 DMRTB.0.P.C
Dmrtc2 ENSMUSG00000011349 DMRTD.0.SM.D
Dmrta2 ENSMUSG00000047143 DMTA2.0.SM.D
Dpf1 ENSMUSG00000030584 DPF1.0.SM.D
Drgx ENSMUSG00000041730 DRGX.0.S.D
Drgx ENSMUSG00000041730 DRGX.1.SM.D
E2f1 ENSMUSG00000027490 E2F1.0.P.B
E2f1 ENSMUSG00000027490 E2F1.1.S.B
E2f2 ENSMUSG00000018983 E2F2.0.S.D
