Chrom	Starts	Ends	genes
chr1	3073253	3073253	4933401J01Rik
chr1	3102016	3102016	Gm26206
chr1	3671498	3671498	Xkr4
chr1	3252757	3252757	Gm18956
chr1	3368549	3368549	Gm37180
chr1	3377788	3377788	Gm37363
chr1	3467285	3467285	Gm37686
chr1	3466587	3466587	Gm1992
chr1	3514507	3514507	Gm37329
chr1	3531795	3531795	Gm7341
chr1	3595903	3595903	Gm38148
chr1	3658904	3658904	Gm19938
chr1	3680155	3680155	Gm10568
chr1	3752010	3752010	Gm38385
chr1	3783933	3783933	Gm27396
chr1	3986215	3986215	Gm37381
chr1	4409241	4409241	Rp1
chr1	4260519	4260519	Gm6101
chr1	4409187	4409187	Rp1
chr1	4364829	4364829	Gm37483
chr1	4497354	4497354	Sox17
chr1	4496551	4496551	Gm37587
chr1	4522905	4522905	Gm7357
chr1	4529017	4529017	Gm22307
chr1	4535286	4535286	Gm38076
chr1	4586252	4586252	Gm37323
chr1	4610471	4610471	Gm7369
chr1	4689403	4689403	Gm6085
chr1	4693424	4693424	Gm6119
chr1	4723379	4723379	Gm25493
chr1	4735676	4735676	Gm2053
chr1	4771131	4771131	Gm6123
chr1	4785739	4785739	Mrpl15
chr1	4779212	4779212	Gm37144
chr1	4807788	4807788	Lypla1
chr1	4807892	4807892	Gm37988
chr1	4857814	4857814	Tcea1
chr1	4880651	4880651	Gm6104
chr1	4906861	4906861	Gm37277
chr1	5070285	5070285	Rgs20
chr1	4927299	4927299	Gm17100
chr1	4940710	4940710	Gm37079
chr1	4970857	4970857	Gm16041
chr1	5063060	5063060	Gm17101
chr1	5070018	5070018	Atp6v1h
chr1	5277337	5277337	Gm7182
chr1	5307739	5307739	Gm37567
chr1	5403547	5403547	Gm38264
chr1	5588466	5588466	Oprk1
chr1	5618230	5618230	Gm36965
chr1	5644745	5644745	Gm22463
chr1	5844672	5844672	Gm37429
chr1	5917398	5917398	Npbwr1
chr1	6050045	6050045	Gm19214
chr1	6206197	6206197	Rb1cc1
chr1	6215293	6215293	4732440D04Rik
chr1	6359218	6359218	Fam150a
chr1	6380394	6380394	Gm2147
chr1	6383106	6383106	Gm7417
chr1	6441296	6441296	Gm19026
chr1	6487231	6487231	St18
chr1	6864151	6864151	Gm42492
chr1	6910560	6910560	Gm7449
chr1	6916559	6916559	Gm37108
chr1	6929759	6929759	Gm37275
chr1	6998217	6998217	Gm37225
chr1	7013762	7013762	Gm37489
chr1	7035915	7035915	Gm5694
chr1	7088920	7088920	Pcmtd1
chr1	7136586	7136586	Gm26983
chr1	7148110	7148110	Gm38372
chr1	7177739	7177739	Gm9826
chr1	7189919	7189919	Nras-ps2
chr1	7265803	7265803	Gm23274
chr1	7315451	7315451	Gm19002
chr1	7397869	7397869	Gm26901
chr1	7410679	7410679	Gm18984
chr1	7497968	7497968	Gm30414
chr1	7591646	7591646	Gm37791
chr1	7597379	7597379	Gm7470
