Chrom	Starts	Ends	genes
chr1	11869	11869	ENSG00000223972
chr1	29570	29570	ENSG00000227232
chr1	17436	17436	MIR6859-2
chr1	29554	29554	ENSG00000243485
chr1	30366	30366	MIR1302-2
chr1	36081	36081	FAM138A
chr1	52473	52473	OR4G4P
chr1	57598	57598	OR4G11P
chr1	65419	65419	OR4F5
chr1	133723	133723	ENSG00000238009
chr1	91105	91105	ENSG00000239945
chr1	131025	131025	CICP27
chr1	135895	135895	ENSG00000268903
chr1	137965	137965	ENSG00000269981
chr1	140339	140339	ENSG00000239906
chr1	173862	173862	ENSG00000241860
chr1	157887	157887	RNU6-1100P
chr1	160446	160446	ENSG00000241599
chr1	182696	182696	ENSG00000279928
chr1	195411	195411	ENSG00000279457
chr1	187958	187958	MIR6859-2
chr1	359681	359681	RPL23AP21
chr1	266855	266855	ENSG00000286448
chr1	348366	348366	RPL23AP24
chr1	358857	358857	ENSG00000236601
chr1	522928	522928	ENSG00000237094
chr1	439870	439870	ENSG00000269732
chr1	451678	451678	OR4F29
chr1	487101	487101	ENSG00000233653
chr1	493241	493241	ENSG00000250575
chr1	516479	516479	LOC124904706
chr1	827796	827796	LOC101928626
chr1	587629	587629	ENSG00000235146
chr1	629062	629062	MTND1P23
chr1	629640	629640	MTND2P28
chr1	631074	631074	MTCO1P12
chr1	632413	632413	ENSG00000278791
chr1	632757	632757	MTCO2P12
chr1	633535	633535	MTATP8P1
chr1	633696	633696	MTATP6P1
chr1	634376	634376	MTCO3P12
chr1	674842	674842	ENSG00000268663
chr1	686673	686673	OR4F16
chr1	722092	722092	ENSG00000229376
chr1	778626	778626	ENSG00000228327
chr1	758336	758336	RNU6-1199P
chr1	760911	760911	ENSG00000229905
chr1	778747	778747	ENSG00000237491
chr1	781937	781937	ENSG00000285268
chr1	817712	817712	ENSG00000230092
chr1	817371	817371	FAM87B
chr1	825138	825138	LINC01128
chr1	827522	827522	ENSG00000225880
chr1	860226	860226	LOC107984850
chr1	876903	876903	FAM41C
chr1	873292	873292	TUBB8P11
chr1	877234	877234	ENSG00000283040
chr1	904834	904834	ENSG00000272438
chr1	911435	911435	ENSG00000230699
chr1	914171	914171	ENSG00000241180
chr1	921016	921016	LINC02593
chr1	923923	923923	SAMD11
chr1	959309	959309	NOC2L
chr1	960584	960584	KLHL17
chr1	966482	966482	PLEKHN1
chr1	982093	982093	PERM1
chr1	998051	998051	ENSG00000272512
chr1	1000172	1000172	HES4
chr1	1001138	1001138	ISG15
chr1	1008229	1008229	ENSG00000231702
chr1	1013193	1013193	ENSG00000224969
chr1	1020120	1020120	AGRN
chr1	1055033	1055033	ENSG00000242590
chr1	1059708	1059708	ENSG00000217801
chr1	1063288	1063288	ENSG00000273443
chr1	1074306	1074306	RNF223
chr1	1116361	1116361	C1orf159
chr1	1097585	1097585	ENSG00000285812
chr1	1137017	1137017	LINC01342
chr1	1167104	1167104	MIR200B
chr1	1167863	1167863	MIR200A
chr1	1169005	1169005	MIR429
chr1	1169357	1169357	ENSG00000272141
chr1	1179555	1179555	TTLL10-AS1
chr1	1173880	1173880	TTLL10
chr1	1206592	1206592	TNFRSF18
chr1	1214153	1214153	TNFRSF4
chr1	1232067	1232067	SDF4
chr1	1232237	1232237	B3GALT6
chr1	1246722	1246722	C1QTNF12
chr1	1251334	1251334	ENSG00000260179
chr1	1273864	1273864	UBE2J2
chr1	1275223	1275223	ENSG00000230415
chr1	1280436	1280436	SCNN1D
chr1	1309609	1309609	ACAP3
chr1	1296170	1296170	MIR6726
chr1	1308597	1308597	PUSL1
chr1	1324687	1324687	INTS11
chr1	1312566	1312566	MIR6727
chr1	1318689	1318689	ENSG00000240731
chr1	1324756	1324756	CPTP
chr1	1331280	1331280	TAS1R3
chr1	1349418	1349418	DVL1
chr1	1339708	1339708	MIR6808
chr1	1361777	1361777	MXRA8
chr1	1375495	1375495	AURKAIP1
chr1	1378666	1378666	NDUFB4P8
chr1	1399335	1399335	CCNL2
chr1	1399520	1399520	MRPL20-AS1
chr1	1407293	1407293	MRPL20
chr1	1405752	1405752	RN7SL657P
chr1	1409096	1409096	ENSG00000272455
chr1	1421769	1421769	ANKRD65
chr1	1420245	1420245	ENSG00000225905
chr1	1425871	1425871	TMEM88B
chr1	1434573	1434573	ENSG00000225285
chr1	1434861	1434861	VWA1
chr1	1449689	1449689	ATAD3C
chr1	1471765	1471765	ATAD3B
chr1	1503250	1503250	ENSG00000284740
chr1	1512162	1512162	ATAD3A
chr1	1540624	1540624	TMEM240
chr1	1574863	1574863	SSU72
chr1	1574102	1574102	ENSG00000215014
chr1	1583909	1583909	ENSG00000274481
chr1	1600135	1600135	FNDC10
chr1	1600314	1600314	ENSG00000286989
chr1	1615795	1615795	ENSG00000272106
chr1	1615454	1615454	MIB2
chr1	1632163	1632163	MMP23B
chr1	1659012	1659012	CDK11B
chr1	1659325	1659325	ENSG00000272004
